	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40
16	1643	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
13	0	1658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
40	0	0	1695	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	1561	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	2	0	0	1	0	0	1	0
41	365	356	380	365	3	1	0	5	5	3	2	4	4	3	2	2	3	2	3	2	4	2	2	2	1	1	4	2	2	3	4	0	2	4	3	3	5	1	3	5
10	1	0	1	0	2180	1	1	3	1	0	0	1	2	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	2	1
27	0	0	0	0	0	2220	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	1	0	2241	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2
3	1	0	1	0	0	0	0	2218	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1
26	0	0	0	0	0	1	0	0	2154	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
6	0	0	0	0	0	0	0	0	0	2133	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
9	1	0	0	1	4	3	0	0	0	0	2259	1	2	0	0	0	1	0	0	0	3	1	2	0	1	0	1	2	0	0	0	0	0	3	0	1	0	0	1	1
23	2	0	4	1	2	1	0	0	7	2	0	2199	2	0	0	2	2	0	5	1	1	9	3	0	1	0	0	3	0	1	0	1	0	2	0	2	1	3	1	2
38	0	0	2	0	0	0	0	0	0	0	0	0	2177	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1
35	0	0	3	2	2	1	1	2	2	1	0	1	1	2119	1	0	3	2	3	0	1	3	2	0	1	0	2	3	1	2	2	3	0	3	2	2	2	1	2	4
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2225	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
