	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40
40	1772	0	1	2	1	1	0	1	4	0	0	0	1	1	1	0	1	2	1	0	1	0	2	0	2	1	0	1	0	1	2	1	1	0	2	0	2	2	2	1
20	0	1832	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
10	0	0	1854	1	2	2	2	2	1	1	2	3	178	0	1	2	1	2	1	0	1	1	2	0	212	1	1	1	0	1	2	0	0	0	1	1	2	0	3	2
17	0	0	1	1855	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
14	507	517	518	493	0	0	0	3	1	0	3	1	0	0	1	0	0	4	1	1	1	0	1	0	1	0	2	0	1	3	0	0	1	1	2	1	2	1	0	1
11	1	0	0	0	2115	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
49	0	0	0	0	0	2218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	0	0	0	0	1	0	2228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	69	3	9	12	15	17	1460	11	8	11	7	14	10	6	13	14	9	11	8	13	16	8	10	7	9	11	10	14	6	12	14	19	10	9	11	18	13	10	7	146
18	8	1	8	5	8	4	2	2057	6	3	2	5	3	7	4	4	5	7	7	1	6	9	8	2	10	5	7	6	1	6	4	4	6	9	5	8	5	1	2	6
22	546	534	622	547	716	730	626	612	2251	652	560	675	547	688	577	589	576	751	569	615	741	673	685	493	663	677	644	674	518	670	695	593	663	699	696	685	698	693	661	641
21	0	0	0	0	0	0	0	0	2137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	2084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
